"Район";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Центральный";"Галерея ""ASA ART""";"Галерея ""ASA ART""";"";"191011, г.Санкт-Петербург, Думская улица, дом 4, литер А, (ТК Перинные ряды, секции 22-24а)";"449-56-42, 767-04-36, 8-911-162-16-62";"";"";"";"asaart@mail.ru";"http://www.asaartgallery.ru/";"";"";"";"";"негосударственное учреждение";"Невский проспект";"";"муниципальный округ №78";
"Центральный";"Галерея Михайлова";"Галерея Михайлова. Фонд Свободного Русского Современного Искусства";"Михайлов Георгий Николаевич";"191104, г.Санкт-Петербург, Литейный проспект, дом 53, литер А";"272-48-48, 272-48-80";"Пн-вс 11.00-20.00";"7803028550";"1037858016360";"";"";"Филиал";"";"Санкт-Петербург, Литейный пр-кт, д. 53";"";"Частный";"Маяковская, Гостинный двор";"";"муниципальное образование Литейный округ";
"Петроградский";"Выставочный зал Монетного двора";"Выставочный зал Монетного двора ФГУП ""Гознак""";"Павлов Юрий Васильевич";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 6, литер А";"324-14-74, 324-14-20, 324-14-03, 233-93-03";"";"7813352058";"5067847144382";"spmd@mintspb.ru, info@mintspb.";"www.mintspb.ru";"Филиал";"";"Санкт-Петербург, Петропавловская Крепость тер, д. 3, литера В";"";"ФГУП ""Гознак""";"Горьковская";"";"муниципальный округ №59";
"Красногвардейский";"Выставочный зал Союза художников России";"Выставочный зал Союза художников России";"Владимир Бережной";"195027, г.Санкт-Петербург, Свердловская набережная, дом 64, литер А";"224-06-33, 224-70-57";"ср.-пят. -11:00-18:00, воск., -11:00-17:00, пн.,вт. - выходной";"7801042904";"1027800014406";"";"";"Филиал";"";"Санкт-Петербург, Невский пр-кт, д. 60";"";"Творческий Союз художников России";"Новочеркасская";"";"муниципальный округ Большая Охта";
"Курортный";"Центральный выставочный зал ""Арт Курорт""";"Центральный выставочный зал ""Арт Курорт""";"";"Санкт-Петербург, город Сестрорецк, площадь Свободы, дом 1, литер А";"";"";"";"";"";"";"Филиал";"";"Санкт-Петербург, город Сестрорецк, площадь Свободы, дом 1, литер А";"";"Сообщества художников Зеленогорска";"";"";"город Сестрорецк";
"Адмиралтейский";"Выставочный Центр С-Пб Союза Художников";"Выставочный Центр Санкт-Петербургского Союза Художников. Общественная организация ""Санкт-Петербургский Союз художников""";"Чаркин Альберт Серафимович";"190031, г.Санкт-Петербург, Большая Морская улица, дом 38, литер А";"314-30-60, 315-74-26. 314-77-21, 314-64-32";"с 12.00 до 19.00. Выходной: понедельник";"7812012242";"1037858020650";"finearts@mail.ru";"http://www.spb-uniart.ru/";"Основное и единственное";"314-64-32";"г.Санкт-Петербург, Большая Морская улица, дом 38";"";"Общественная организация";"Сенная площадь, ""Садовая"", ""Невский проспект"".";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Центральный выставочный зал ""Манеж""";"Санкт- Петербургское государственное учреждение культуры ""Центральный выставочный зал ""Манеж""";"Кузьмин Кирилл Станиславович";"190000, г.Санкт-Петербург, Исаакиевская площадь, дом 1/2, литер А";"312-22-43, 312-81-56,314-88-59, 312-22-43";"С 11:00 до 19:00. Выходной день - четверг";"7826735629";"1057806877974";"info@manege.spb.ru  kuzmin@manege.spb.ru";"http://www.manege.spb.ru/";"Основное и единственное";"314-8254";"190000, г.Санкт-Петербург, Исаакиевская площадь, дом 1, литера А,";"ГИС СЦ";"Комитет по культуре";"Невский проспект, Сенная площадь, Садовая";"";"муниципальное образование Адмиралтейский округ";
"Василеостровский";"Выставочный комплекс ""Ленэкспо""";"Выставочный комплекс ""Ленэкспо"". Открытое акционерное общество ""ЛЕНЭКСПО""";"Алеексеев Сергей Павлович";"199106, г.Санкт-Петербург, Большой проспект В.О., дом 103";"321-26-14, 321-26-15, 321-26-25";"";"7830001243";"1027800523695";"";"http://www.lenexpo.ru";"";"";"Санкт-Петербург, Большой ВО пр-кт, д. 103";"";"негосударственное учреждение";"Приморская, Василеостровская";"";"";
"Центральный";"Art галерея ""ДАР""";"Art галерея ""ДАР""";"";"193130, г.Санкт-Петербург, Суворовский проспект, дом 18, литер А, Гранд-Отель";"740-50-00";"ежедневно с 11.00 до 20.00. (без выходных)";"";"";"info@dargallery.ru";"";"Филиал";"";"Санкт-Петербург, Гривцова пер, 1/64 ЛИТ. А";"";"Братский корпус Николая Чудотворца";"";"ДАР - арт-дизайн галерея представляет искусство Русского Севера";"муниципальное образование Смольнинское";
"Центральный";"Арт-галерея ""Либерти""";"Некоммерческое партнерство по поддержке искусства Арт-центр ""Либерти""";"Кудрин Андрей Анатольевич";"191028, г.Санкт-Петербург, улица Пестеля, дом 17/25, литер А";"579-44-10, 579-22-14";"с 11:00 до 20:00, выходной - понедельник";"7841015872";"1077800022090";"art-liberty@mail.ru";"www.libertyartgallery.ru";"";"";"Санкт-Петербург, Пестеля ул, д. 17/25, литер А, помещение 5Н";"";"Негосударственное";"Чернышевская";"";"муниципальное образование Литейный округ";
