"Район";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Центральный";"Киноцентр ""Родина""";"Санкт-Петербургское государственное учреждение ""Городской детский киноцентр ""Родина""";"Караваева Анастасия Валерьевна";"г.Санкт-Петербург, набережная реки Фонтанки, дом 15, литер А, помещение №1Н-6Н";"3102184,5716";"";"7825118912";"1037843062575";"";"dkc_rodina@kkult.ga.spb.ru";"www.domkino.spb.ru";"Основное и единственное";"3102184,3141";"г.Санкт-Петербург, набережная реки Фонтанки, дом 15, литер А";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Кировский";"Киноцентр ""Киномакс""";"Киноцентр ""Киномакс"", ТРК ""Румба""";"";"198188, г.Санкт-Петербург, улица Васи Алексеева, дом 6, литер А";"335-36-00, 335-36-36";"";"";"";"788";"";"www.kinomax.ru";"";"";"";"";"Российская сеть кинотеатров ""Киномакс""";"Кировский завод";"4 зала";"муниципальный округ №28";
"Красногвардейский";"Детский кинотеатр ""Заневский""";"Санкт-Петербургское государственное учреждение культуры ""Детский кинотеатр ""Заневский""";"Кондрон Галина Юрьевна";"195196, г.Санкт-Петербург, Новочеркасский проспект, дом 47, корпус 1, литер А";"444-37-85";"";"7806025130";"";"";"";"";"Основное и единственное";"444-37-85";"195196, г.Санкт-Петербург, Новочеркасский проспект, дом 47, корпус 1, литер А";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №34 (Малая Охта)";
"Колпинский";"Кинотеатр ""Подвиг""";"Кинотеатр ""Подвиг""";"";"Санкт-Петербург, город Колпино, Павловская улица, дом 34, литер А";"469-50-79, 469-50-83";"";"";"";"";"kinkom@front.ru";"www.podvig-kino.ru";"";"";"";"";"";"";"";"город Колпино";
"Приморский";"Каро-Фильм на Пионерской";"Общество с ограниченной ответственностью ""КАРО Фильм - Санкт-Петербург"", в ТЦ «Рамстор»";"Заболотский Михаил Романович";"197374, г.Санкт-Петербург, Коломяжский проспект, дом 19, корпус 2, литер А";"448-05-05";"";"7841314953";"1057810366460";"802";"info@karofilm.ru";"http://www.karofilm.ru/";"Филиал";"";"Санкт-Петербург, Митрофаньевское ш, д. 2, корп. 1";"";"Общество с ограниченной ответственностью ""Концерн КАРО"", частная компания ""КЕТТЛАНД ЛИМИТЕД""";"Пионерская";"6 залов";"муниципальный округ №67";
"Приморский";"Каро-Фильм на Байконурской";"Общество с ограниченной ответственностью ""КАРО Фильм - Санкт-Петербург"", в ТРК «Континент»";"Заболотский Михаил Романович";"г.Санкт-Петербург, Байконурская улица, дом 14, литер А";"448-05-05";"";"7841314953";"1057810366460";"873";"info@karofilm.ru";"http://www.karofilm.ru/";"Филиал";"";"Санкт-Петербург, Митрофаньевское ш, д. 2, корп. 1";"";"Общество с ограниченной ответственностью ""Концерн КАРО"", частная компания ""КЕТТЛАНД ЛИМИТЕД""";"Комендантский проспект, Пионерская";"6 залов";"муниципальный округ №68";
"Фрунзенский";"Кинотеатр ""Кронверк Синема""";"Кинотеатр ""Кронверк Синема"" Балканский";"";"192281, г.Санкт-Петербург, Балканская площадь, дом 5, литер О";"448-4-448";"";"";"";"";"kronverkcinema@list.ru";"http://www.kronverkcinema.ru/";"Филиал";"";"";"";"Eurasia Cinemas B.V. - холдинг и Кронверк Синема – российская федеральная сеть кинотеатров";"Купчино";"";"муниципальный округ Балканский";
"Красногвардейский";"Кинотеатр ""Mori Cinema""";"Кинотеатр сети ""Mori Cinema"" в ТРЦ «ИЮНЬ»";"";"г.Санкт-Петербург, Индустриальный проспект, дом 24, литер А";"635-65-03, 008";"Режим работы: с 9-30 до 01-00";"";"";"870";"";"www.mori-cinema.ru";"";"";"";"";"Сеть ""Mori Cinema""";"Ладожская, Проспект Большевиков";"";"муниципальный округ №35 (Пороховые)";
"Фрунзенский";"Детский кинотеатр ""Факел""";"Санкт-Петербургское  государственное  учреждение  культуры Детский кинотеатр ""Факел""";"Голубев В.И.";"192236, г.Санкт-Петербург, Софийская улица, дом 44, литера А, помещение №38";"108-76-63";"";"7816030387";"";"";"";"";"";"108-76-63";"192236, г.Санкт-Петербург, Софийская улица, дом 44,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №72";
"Петроградский";"Киноцентр ""Джем Холл""";"Общество с ограниченной ответственностью ""Джэм холл - 3""";"Кондратенко Вадим Валерьянович";"197022, г.Санкт-Петербург, Каменноостровский проспект, дом 42, литер А";"703-74-14, 346-40-14, 346-40-79";"";"7802209063";"1037804040889";"";"info@jamhall.ru";"www.jamhall.ru";"";"";"197022, г.Санкт-Петербург, Каменноостровский проспект, дом 42, литер А";"";"Частный";"Петроградская";"";"муниципальный округ №61";
