"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Пушкинский";"Филармония";"Камерный хор ""Петербургские серенады""";"Санкт-Петербургское государственное учреждение Царскосельский камерный хор ""Петербургские серенады""";"Спицына Ольга Николаевна";"Санкт-Петербург, город Пушкин, Набережная улица, дом 14, литер А";"274-79-75, 994-57-83, +7 (921) 975-41-24";"";"7820019280";"1027809010800";"";"info@z-muz.ru";"http://www.z-muz.ru/";"";"274-79-75";"Санкт-Петербург, Пушкин г, Набережная ул, д. 14";"";"Комитет по управлению гороским имуществом";"";"";"город Пушкин";
"Адмиралтейский";"Концертный зал";"Концертный зал Мариинского театра";"Концертный зал Государственного академического Мариинского театра";"Гергиев Валерий Абисалович";"190000, г.Санкт-Петербург, улица Писарева, дом 20, литер А (улица Декабристов, 37)";"326-41-41";"Садовая, Невский проспект";"7812024600";"1027810251006";"";"tickets@mariinsky.ru";"http://www.mariinsky.ru/";"Филиал";"";"Санкт-Петербург, Театральная пл, д. 1";"";"Государственный академический Мариинский театр";"";"";"муниципальное образование Коломна";
"Центральный";"Концертный зал";"Концертно-выставочный зал «Смольный собор»";"Концертно-выставочный зал «Смольный собор». Государственный музей-памятник «Исаакиевский собор»";"Буров Николай Витальевич (Цема Тамара Александровна)";"191060, г.Санкт-Петербург, площадь Растрелли, дом 1, литер А";"710-31-59";"Музей работает ежедневно, кроме среды. С 16 сентября по 30 апреля с 11.00 до 19.00. С 1мая по 15 сентября с 10.00 до 19.00.";"7825416563";"1037858007241";"";"";"www.cathedral.ru";"Филиал";"";"Санкт-Петербург, Грибоедова Канала наб, д. 2-а, пом. 8";"";"Музейный комплекс Государственный музей-памятник «Исаакиевский собор»";"Чернышевская";"";"муниципальное образование Смольнинское";
"Центральный";"Концертный зал";"Музыкально-театральный зал ""Дом Кочневой""";"Санкт-Петербургское государственное концертно-филармоническое учреждение ""Петербург-концерт"". Музыкально-театральный зал ""Дом Кочневой""";"Колчин Евгений Евгеньевич";"191023, г.Санкт-Петербург, набережная реки Фонтанки, дом 41, литера А,";"-812";"";"7825332472";"";"";"www.petroconcert.spb.ru";"";"";"571-20-66";"191023, г.Санкт-Петербург, набережная реки Фонтанки, дом 41, литера А,";"ГИС СЦ";"Комитет по культуре";"Невский проспект, Гостинный двор";"1,0278092106e+012";"муниципальный округ №78";
"Центральный";"Филармония";"Академический симфонический оркестр";"Государственное учреждение ""Санкт-Петербургский государственный Академический симфонический оркестр""";"Ганеева Людмила Матвеевна";"191025, г.Санкт-Петербург, Невский проспект, дом 41, литер А, дворец Белосельских-Белозерских, помещение №121";"310-70-80";"";"7808010330";"1027809236388";"";"gasosp@yandex.ru, simfo@kkult.gov.spb.ru";"";"";"315-50-10";"191025, г.Санкт-Петербург, Невский проспект, дом 41";"ГИС СЦ";"Комитет по культуре";"Невский проспект, Гостинный двор, Маяковская, Площадь Восстания";"";"муниципальное образование Владимирский округ";
"Центральный";"Филармония";"Государственный Русский концертный оркестр Санкт-Петербурга";"Санкт-Петербургское государственное учреждение ""Государственный Русский концертный оркестр Санкт-Петербурга""";"Ежов Сергей Александрович, (Рыбин Сергей Семенович)";"г.Санкт-Петербург, набережная реки Фонтанки, дом 41, литер А, помещение №42, 44";"710-40-78";"";"7808012539";"1027809251975";"";"grk_orchestra@mail.ru";"www.spbgrko.narod.ru";"";"710-40-78";"191011, г.Санкт-Петербург, набережная реки Фонтанки, дом 41";"ГИС СЦ";"Комитет по культуре";"Невский проспект";"";"муниципальный округ №78";
"Центральный";"Филармония";"Губернаторский оркестр Санкт-Петербурга";"Санкт-петербургское государственное учреждение культуры ""Губернаторский оркестр Санкт-Петербурга""";"Магалашвили Альберт Ильич";"191119, г.Санкт-Петербург, улица Константина Заслонова, дом 14, литера Б,";"315-40-76";"";"7825401623";"1027809177780";"";"pkc-dbb@mail.ru";"";"";"315-40-76";"191119, г.Санкт-Петербург, улица Константина Заслонова, дом 14, литера Б,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Владимирский округ";
"Центральный";"Концертный зал";"Концертный зал ""КАРНАВАЛ""";"Концертный зал ""КАРНАВАЛ"". Государственное образовательное учреждение ""Санкт-Петербургский городской Дворец творчества юных""";"Перлова Лариса Петровна";"г.Санкт-Петербург, Невский проспект, дом 39, литер Д";"310-48-22, 310-48-22, 310-10-10";"";"7808023241";"1027809227060";"";"karnaval@dtu.spb.ru";"http://www.anichkov.ru/gdtu/group/theatre/karnaval";"Филиал";"";"г.Санкт-Петербург, Невский проспект, дом 39, литер Д";"";"Санкт-Петербургский городской Дворец творчества юных";"Гостиный Двор";"";"муниципальный округ №78";
"Калининский";"Концертный зал";"Концертный зал у Финляндского";"Концертный зал у Финляндского. Санкт-Петербургское государственное культурно-досуговое учреждение ""Культурный центр Калининского района""";"Григорьева Елена Александровна";"г.Санкт-Петербург, Арсенальная набережная, дом 13/1, литер А";"тел";"";"7804024759";"1027802484632";"";"kz.fin@mail.ru";"http://www.finzal.ru/";"Филиал";"542-37-32, 542-09-44";"Санкт-Петербург, Арсенальная наб, д. 13/1";"";"Культурный центр Калининского района";"Площадь Ленина";"";"муниципальный округ №20";
"Петроградский";"Концертный зал";"Атриум Комендантского дома Петропавловской крепости";"Атриум Комендантского дома Петропавловской крепости";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3, литер О";"243-34-84, 238-07-50";"";"7813080598";"1037828028677";"";"";"http://www.spbmuseum.ru/peterpaul/info/";"Филиал";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный музей истории Санкт-Петербурга";"Горьковская";"";"муниципальный округ №59";
