"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Наличие ЕМТС";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Невский";"Музей";"Музей фарфора";"Музей Императорского фарфорового завода. Отдел Государственного Эрмитажа";"Петрова Наталья Сергеевна";"193171, г.Санкт-Петербург, проспект Обуховской Обороны, дом 151, литер В";"326-46-20, 571-34-65";"Режим работы: 10.30-18.00, (Вс. до 17.00), выходной – Пн. Каждый первый четверг месяца - бесплатный вход.";"7830002416";"1037843031808";"";"info@hermitage.ru";"www.hermitagemuseum.org, http://www.spb-rf.ru/muzey_farfora.htm";"Филиал";"";"";"Санкт-Петербург, Дворцовая наб, д. 34";"";"Государственный Эрмитаж";"Ломоносовская";"";"муниципальный округ Ивановский";
"Центральный";"Музей";"Музей истории милиции";"Музей истории милиции Культурного центра ГУВД Санкт-Петербурга и Ленинградской области";"Михайлов Игорь Витальевич (Рыбин Сергей Семенович)";"193024, г.Санкт-Петербург, Полтавская улица, дом 12, литер А";"717-9536, 717-9663, 579-42-33, 277-78-25";"Ежедневно с 9.30 до 18.00. Выходной — суббота и воскресенье. Внимание:только экскурсионное обслуживание по предварительной договоренности";"7825705533";"1037843014032";"";"M198@mail.museum.ru";"www.museum.ru/M198, http://kcguvd.spb.ru/museum.htm";"Филиал";"";"";"Санкт-Петербург, Полтавская ул, д. 12";"";"Культурный центр ГУВД";"Площадь Восстания, Маяковская";"";"муниципальное образование Лиговка-Ямская";
"Московский";"Музей";"Музей свадьбы, семьи и детства";"Частное учреждение культуры ""Музей свадьбы, семьи и детства"" (Музей Петербургской Свадьбы)";"Морозова Ольга Ивановна";"г.Санкт-Петербург, Московский проспект, дом 192-194, литер А";"388-03-35, 902-68-55";"";"7838029410";"1087800002267";"";"museum@spbsva.ru";"http://museum.spbsva.ru";"";"";"";"Санкт-Петербург, Декабристов ул, д. 6, лит.А, пом.10-н";"";"Частное учреждение";"Парк Победы";"";"муниципальное образование Московская застава";
"Фрунзенский";"Музей";"Музей инструмента";"Музей инструмента ОАО «Проммашинструмент»";"Нещерет Ярослав Александрович";"192236, г.Санкт-Петербург, Софийская улица, дом 14, литер А";"326-48-92, 326-48-84";"Понедельник-пятница 9.00-18.00";"7816100235";"1027808011934";"";"museum@pmi.sp.ru";"www.instrument.spb.ru/museum.shtml";"";"";"326-48-85";"Санкт-Петербург, Тамбовская ул, д. 13, корп. А, пом. 3-Н";"";"ОАО «Проммашинструмент»";"Елизаровская, Ломоносовская";"";"муниципальный округ Волковское";
"Пушкинский";"Музей";"Мемориальный музей-лицей А.С.Пушкина";"Мемориальный музей-лицей А.С.Пушкина. Всероссийский музей А.С.Пушкина";"Таратынова Ольга Владиславовна";"189620, Санкт-Петербург, город Пушкин, Садовая улица, дом 2, литер А";"476-64-11, 315-73-79";"С 10 час. 30 мин. до 18 час. 00 мин. Выходные дни: вторник и последняя пятница месяца.";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"http://www.museumpushkin.ru/info/liceuminfo.php";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Всероссийский музей А.С.Пушкина";"";"";"город Пушкин";
"Пушкинский";"Музей";"Музей истории  города Павловска";"Музей истории  города Павловска";"Балунин Михаил Петрович";"Санкт-Петербург, город Павловск, Песчаный переулок, дом 11/16, литер А";"452-19-14";"";"7820023907";"1027809013737";"";"";"";"Филиал";"";"";"Санкт-Петербург, Павловск г, Красных Зорь ул, д. 7";"";"Государственное учреждение ""Центр культуры, кино и досуга ""Павловск""";"";"";"город Павловск";
"Адмиралтейский";"Музей";"Центральный музей железнодорожного транспорта";"Федеральное государственное учреждение культуры ""Центральный музей железнодорожного транспорта Российской Федерации""";"Закревская Галина Петровна";"г.Санкт-Петербург, Садовая улица, дом 50";"315-14-76, 768-80-05";"С 11 до 17 . Выходной: пятница, суббота. Последний четверг месяца - санитарный день";"7826661166";"1027810320306";"";"";"http://railroad.ru/cmrt/";"Основное, есть филиал";"";"";"г.Санкт-Петербург, Садовая улица, дом 50";"";"";"Сенная Площадь, Садовая, Спасская";"";"муниципальное образование Сенной округ";
"Кировский";"Музей";"СПб ГУ Музей ""А.Ахматова. Серебряный век""";"СПб ГУ Музей ""Анна Ахматова. Серебряный век""";"Биличенко Валентина Андреевна";"198152, г.Санкт-Петербург, Автовская улица, дом 14, литер А";"785-04-42";"";"7805003350";"1037811047340";"";"M189@mail.museum.ru";"www.museum.ru/M189";"";"";"785-04-42";"198152, г.Санкт-Петербург, Автовская улица, дом 14, литер А";"";"";"";"";"муниципальный округ №28";
"Адмиралтейский";"Музей";"Музей Русского Географического общества";"Музей Русского Географического общества";"Комарицын Анатолий Александрович";"190000, г.Санкт-Петербург, переулок Гривцова, дом 10, литер А";"315-83-35, 8-800-700-1845";"";"7812011023";"1037858010970";"";"";"http://www.rgo.ru/2010/02/krupnejshij-v-sng-geograficheskij-muze/";"Филиал";"";"";"Санкт-Петербург, Гривцова пер, д. 10";"";"Русское Географическое общество";"Садовая, Сенная Площадь, Спасская";"";"муниципальное образование Сенной округ";
"Центральный";"Музей";"Музей-квартира Аллилуевых";"Санкт-Петербургское государственное учреждение культуры ""Историко-мемориальный музей ""Смольный"" , музей-квартира Аллилуевых";"Тютчева Валентина Сергеевна";"193144, г.Санкт-Петербург, 10-я Советская улица, дом 17, литер А кв.20";"271-25-79, 276-13-21";"";"7825453621";"1047844026933";"";"M177@mail.museum.ru";"http://www.museum.ru/M177";"Филиал";"";"276-13-21";"г.Санкт-Петербург, улица Пролетарской Диктатуры, дом 3";"";"";"";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Зимний Дворец Петра I";"Музей ""Зимний Дворец Петра I"", филиал Государственного Эрмитажа";"";"191065, г.Санкт-Петербург, Дворцовая набережная, дом 32, литер А";"710-97-63, 571-34-65, 571-84-46";"Вторник - суббота: 10.30 - 18.00, воскресенье: 10.30 - 17.00, выходной день - понедельник";"7830002416";"1037843031808";"";"visitorservices@hermitage.ru";"www.hermitage.museum.ru";"Филиал";"";"";"Санкт-Петербург, Дворцовая наб, д. 34";"";"Государственный Эрмитаж";"Невский проспект, Гостинный двор, Адмиралтейская (";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей обороны и блокады Ленинграда";"Санкт-Петербургское государственное учреждение культуры ""Государственный мемориальный музей обороны и блокады Ленинграда""";"Шишкин Анатолий Александрович";"191028, г.Санкт-Петербург, Соляной переулок, дом 9, литера А,";"273-76-47";"";"7841015216";"1047841036286";"";"gmmobl@mail.ru";"www.museum.ru/M107";"";"";"275-84-82";"191028, г.Санкт-Петербург, Соляной переулок, дом 9, литера А, помещение №1Н, 2Н, 3Н";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Литейный округ";
"Центральный";"Музей";"Музей истории парламентаризма России";"Музей истории парламентаризма России";"";"193015, г.Санкт-Петербург, Шпалерная улица, дом 47, литер А";"326-69-11";"пн-пт 10.00–17.00, только групповые экскурсии";"7815018250";"1037843103286";"";"";"www.iacis.ru";"Филиал";"";"";"Санкт-Петербург, Шпалерная ул, д. 47";"";"Секретариат Совета Межпарламентской Ассамблеи государств";"Чернышевская";"";"муниципальное образование Смольнинское";
"Петроградский";"Музей";"Музей Петербургского Авангарда";"Музей Петербургского Авангарда (Дом М.В.Матиюшина). Государственный Музей истории Санкт-Петербурга.";"Колякин Александр Николаевич";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 10, литер Г";"234-42-89";"";"7813080598";"1037828028677";"";"mail@spbmuseum.ru";"";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3,";"";"Государственный Музей истории Санкт-Петербурга";"Петроградская";"";"муниципальный округ №61";
"Василеостровский";"Музей";"Музей истории Санкт-Петербургского университета";"Музей истории Санкт-Петербургского университета";"Тихонов Игорь Львович (Кропачев Николай Михайлович)";"199034, г.Санкт-Петербург, Университетская набережная, дом 7-9-11, литер А";"328-96-83";"Часы работы: 10.00 - 18.00. Выходные - суббота, воскресенье.";"7801002274";"1037800006089";"";"tikhonov@it6949.spb.edu";"www.spbu.ru";"Филиал";"";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 7-9";"";"Санкт-Петербургский государственный университет";"";"Вход с Менделеевской линии, 3 этаж";"муниципальный округ №7";
"Пушкинский";"Музей";"Мемориальный Музей-дача А.С.Пушкина";"Мемориальный Музей-дача А.С.Пушкина. Филиал Всероссийского музея Пушкина.";"Галкина Татьяна Ивановна";"189620, Санкт-Петербург, город Пушкин, Пушкинская улица, дом 2/19, литер А";"476-69-90, 314-00-06, 312-19-62";"С 10 час. 30 мин. до 18 час. 00 мин. Выходные дни: понедельник, вторник и последняя пятница месяца.";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"http://www.museumpushkin.ru/info/rateinfo.php";"Филиал";"";"";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"";"Всероссийский музей А.С.Пушкина";"";"";"город Пушкин";
"Пушкинский";"Музей";"Музей ""Царскосельская коллекция""";"Санкт-Петербургское  государственное учреждение Музей ""Царскосельская коллекция""";"Некрасов Александр Михайлович";"189620, Санкт-Петербург, город Пушкин, Магазейная улица, дом 40/27, литер А";"466-04-60";"";"7820018897";"1027809012692";"";"M2545@mail.museum.ru";"http://www.museum.ru/M2545";"Основное и единственное";"";"";"189620, Санкт-Петербург, город Пушкин, Магазейная улица, дом 40/27, литер А";"";"";"";"";"город Пушкин";
"Пушкинский";"Музей";"Историко-литературный музей города Пушкина";"Санкт-Петербургское государственное учреждение ""Историко-литературный музей города Пушкина""";"Давыдова Наталья Алексеевна";"196600, Санкт-Петербург, город Пушкин, Леонтьевская улица, дом 28, литер А";"466-55-10, 465-99-82";"";"7820018801";"1027809001912";"";"M193@mail.museum.ru";"http://www.museum.ru/M193";"";"Проект 2008";"";"196600, Санкт-Петербург, город Пушкин, Леонтьевская улица, дом 28, литер А";"";"Комитет по управлению городским имуществом";"";"";"город Пушкин";
"Пушкинский";"Музей";"Дом-музей П.П.Чистякова";"Дом-музей П.П.Чистякова, филиал Научно-исследовательского музея Российской академии художеств";"Чурилова Елена Борисовна";"196600, Санкт-Петербург, город Пушкин, Московское шоссе, дом 23, литер А";"470-70-85, 470-77-12";"";"7801047324";"1037800002547";"";"M169@mail.museum.ru";"http://www.museum.ru/M169";"Филиал";"";"470-77-12";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"";"Научно-исследовательский музей Российской Академии художеств";"";"";"город Пушкин";
"Пушкинский";"Музей";"Александровский дворец";"Александровский дворец";"Таратынова Ольга Владиславовна";"Санкт-Петербург, город Пушкин, Дворцовая улица, дом 2";"466-60-71";"Кассы работают с 10.00 до 17.00 часов. Выходные дни: вторник и последняя среда каждого месяца.";"7820012503";"1027809014958";"";"";"http://www.tzar.ru/museums/palaces/alex_ander";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
