"Район";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Количество мест";"Количество мест";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Кировский";"Театр ""Плюс""";"Театр ""Плюс""";"";"г.Санкт-Петербург, Ленинский проспект, дом 115, литер А";"753-55-76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"муниципальный округ №27";
"Московский";"Драматический театр ""Причастие""";"Санкт-Петербургский Драматический театр ""Причастие""";"Коновалов Павел Михайлович";"г.Санкт-Петербург, Варшавская улица, дом 47, корпус 2, литер А";"375-01-68, 375-88-40, 375-95-67";"";"7810246580";"1037858006361";"";"";"";"";"";"375-79-86";"Санкт-Петербург, Варшавская ул, д. 47, корп. 2";"";"Общественная организация инвалидов ""Культура и Милосердие""";"Московская";"";"муниципальное образование Новоизмайловское";
"Московский";"Театр ""Веселый балаганчик""";"Детский Эстрадный Театр ""Веселый балаганчик""";"Собчук Елена Владимировна";"г.Санкт-Петербург, Московский проспект, дом 216а, литер А";"373-46-64";"16.00-21.00, вс 12.00-18.00.";"7810237071";"1027804904380";"";"";"eralash_peterburg@km.ru";"http://www.veselbalag.narod.ru/about.htm";"Филиал";"";"Санкт-Петербург, Алтайская ул, д. 37";"";"Молодежно-подростковый центр""Московский""";"Московская";"";"муниципальное образование Звездное";
"Невский";"Санкт-Петербургский театр ""Мастерская""";"Автономная некоммерческая организация культуры Санкт-Петербургский театр ""Мастерская""";"Барсегов Михаил Николаевич (Козлов Григорий Михайлович)";"193079, г.Санкт-Петербург, Народная улица, дом 1, литера Б, (Октябрьская набережная, дом 68, 70)";"922 2142 (касса), 941-06-51, 8-921-752-01-13";"";"7801269817";"1107800005389";"";"";"sfridman@yandex.ru";"http://www.vteatrekozlov.net/";"";"";"Санкт-Петербург, Шевченко ул, д. 22, Литер Б, Помещение 11-Н";"ГИС СЦ";"Негосударственный";"Ломоносовская";"";"муниципальный округ Народный";
"Василеостровский";"Театр ""Домино""";"Санкт-Петербургский театр ""Домино""";"Саяпин Николай Витальевич";"199026, г.Санкт-Петербург, Большой проспект В.О., дом 83, литер А, (ДК им. Кирова, 4 этаж)";"449-10-75";"";"";"";"";"";"dominoart@rambler.ru";"http://www.teatrdomino.narod.ru/index.html";"";"449-10-75";"";"";"";"Василеостровская";"";"муниципальный округ №9";
"Кировский";"Театр детского балета";"Санкт-Петербургское государственное учреждение ""Театр детского балета""";"Никифоров Анатолий Сергеевич";"г.Санкт-Петербург, улица Новостроек, дом 25, литер А";"743-56-60";"11.00-18.00, кроме сб., вс";"7805008950";"1027802728227";"";"";"children-ballet@yandex.ru";"http://www.children-ballet.spb.ru";"Основное, есть филиал";"";"г.Санкт-Петербург, улица Новостроек, дом 25, литер А";"";"Комитет по управлению городским и муниципальным имуществом СПб";"Кировский завод, Автово";"";"муниципальный округ №28";
"Центральный";"Театр ""Комедианты""";"Ленинградское областное государственное учреждение культуры Драматический театр ""Комедианты""";"Левшин Михаил Александрович";"191119, г.Санкт-Петербург, Лиговский проспект, дом 44, литер Б";"572-10-04, 764-70-16, 764-81-14";"";"7815000301";"1037843001536";"";"";"gayol@rambler.ru";"www.komedianty.spb.ru";"";"762-57-83";"";"";"";"";"";"муниципальное образование Лиговка-Ямская";
"Центральный";"Театр Эстрады им. Аркадия Райкина";"Санкт-Петербургское государственное учреждение культуры ""Театр Эстрады"" имени Аркадия Райкина";"Усубиани Алики Аликовна (худ.руководитель: Гальцев Юрий Николаевич)";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 40, литера А, (Большая Конюшенная, дом 27)";"314-70-60, 314-66-61";"";"7841409683";"1097847186656";"";"";"estradaspb@mail.ru";"www.estrada.spb.ru";"Основное и единственное";"314-70-65";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 40, литера А";"ГИС СЦ";"Комитет по культуре";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Государственный балет на льду Санкт-Петербурга";"Санкт-Петербургское государственное учреждение культуры ""Государственный балет на льду Санкт-ПетербургА""";"Каминов Михаил Борухович";"191144, г.Санкт-Петербург, 8-я Советская улица, дом 56, литера А,";"577-47-03, 577-47-00, 577-47-06";"";"7803019724";"1027809246024";"";"";"ballet@robotek.ru";"www.balletonice.spb.ru";"";"577-47-03";"191144, г.Санкт-Петербург, 8-я Советская улица, дом 56, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Восстания";"";"муниципальное образование Смольнинское";
"Петроградский";"Мюзик-Холл";"Санкт-петербургское государственное учреждение культуры, театр ""Мюзик-Холл""";"Платунов Александр Владимирович";"197198, г.Санкт-Петербург, Александровский парк, дом 4, литера м,";"232-61-65";"";"7813046420";"1027806869771";"";"";"direction@musichallspb.ru";"www.musichall.spb.ru";"Основное и единственное";"232-53-29";"197198, г.Санкт-Петербург, Александровский парк, дом 4,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №59";
